src_plate,src_well,src_name,total_volume,dest_plate
MAON-pcr1,E11,2_12&14_b,2.0,
MAON-pcr1,E12,2_13&15_b,2.0,
MAON-pcr1,E2,1_10_b,9.0,
MAON-pcr1,E3,2_18_b,9.0,
MAON-pcr1,E4,3_26_b,15.0,
MAON-pcr1,E5,1_1&9_b,2.0,
MAON-pcr1,E6,1_2&9_b,2.0,
MAON-pcr1,E7,1_3&10_b,2.0,
MAON-pcr1,E8,1_5&7_b,2.0,
MAON-pcr1,E9,1_7&8_b,2.0,
MAON-pcr1,F1,1_3_b,9.0,
MAON-pcr1,F10,2_11&15_b,2.0,
MAON-pcr1,F11,2_12&15_b,2.0,
MAON-pcr1,F12,2_13&16_b,2.0,
MAON-pcr1,F2,2_11_b,9.0,
MAON-pcr1,F3,2_19_b,9.0,
MAON-pcr1,F4,1_1&2_b,2.0,
MAON-pcr1,F5,1_1&10_b,2.0,
MAON-pcr1,F6,1_2&10_b,2.0,
MAON-pcr1,F7,1_4&5_b,2.0,
MAON-pcr1,F8,1_5&8_b,2.0,
MAON-pcr1,F9,1_7&9_b,2.0,
MAON-pcr1,G1,1_4_b,9.0,
MAON-pcr1,G10,2_11&16_b,2.0,
MAON-pcr1,G11,2_12&16_b,2.0,
MAON-pcr1,G12,2_13&17_b,2.0,
MAON-pcr1,G2,2_12_b,9.0,
MAON-pcr1,G3,2_20_b,9.0,
MAON-pcr1,G4,1_1&3_b,2.0,
MAON-pcr1,G5,1_2&3_b,2.0,
MAON-pcr1,G6,1_3&4_b,2.0,
MAON-pcr1,G7,1_4&6_b,2.0,
MAON-pcr1,G8,1_5&9_b,2.0,
MAON-pcr1,G9,1_7&10_b,2.0,
MAON-pcr1,H1,1_5_b,9.0,
MAON-pcr1,H10,2_11&17_b,2.0,
MAON-pcr1,H11,2_12&17_b,2.0,
MAON-pcr1,H12,2_13&18_b,2.0,
MAON-pcr1,H2,2_13_b,9.0,
MAON-pcr1,H3,3_21_b,15.0,
MAON-pcr1,H4,1_1&4_b,2.0,
MAON-pcr1,H5,1_2&4_b,2.0,
MAON-pcr1,H6,1_3&5_b,2.0,
MAON-pcr1,H7,1_4&7_b,2.0,
MAON-pcr1,H8,1_5&10_b,2.0,
MAON-pcr1,H9,1_8&9_b,2.0,
MAON-pcr1~2,A1,2_13&19_b,2.0,
MAON-pcr1~2,A2,2_15&16_b,2.0,
MAON-pcr1~2,A3,2_16&20_b,2.0,
MAON-pcr1~2,A4,3_21&23_b,6.0,
MAON-pcr1~2,A5,3_23&24_b,6.0,
MAON-pcr1~2,B1,2_13&20_b,2.0,
MAON-pcr1~2,B2,2_15&17_b,2.0,
MAON-pcr1~2,B3,2_17&18_b,2.0,
MAON-pcr1~2,B4,3_21&24_b,6.0,
MAON-pcr1~2,B5,3_23&25_b,6.0,
MAON-pcr1~2,C1,2_14&15_b,2.0,
MAON-pcr1~2,C2,2_15&18_b,2.0,
MAON-pcr1~2,C3,2_17&19_b,2.0,
MAON-pcr1~2,C4,3_21&25_b,6.0,
MAON-pcr1~2,C5,3_23&26_b,6.0,
MAON-pcr1~2,D1,2_14&16_b,2.0,
MAON-pcr1~2,D2,2_15&19_b,2.0,
MAON-pcr1~2,D3,2_17&20_b,2.0,
MAON-pcr1~2,D4,3_21&26_b,6.0,
MAON-pcr1~2,D5,3_24&25_b,6.0,
MAON-pcr1~2,E1,2_14&17_b,2.0,
MAON-pcr1~2,E2,2_15&20_b,2.0,
MAON-pcr1~2,E3,2_18&19_b,2.0,
MAON-pcr1~2,E4,3_22&23_b,6.0,
MAON-pcr1~2,E5,3_24&26_b,6.0,
MAON-pcr1~2,F1,2_14&18_b,2.0,
MAON-pcr1~2,F2,2_16&17_b,2.0,
MAON-pcr1~2,F3,2_18&20_b,2.0,
MAON-pcr1~2,F4,3_22&24_b,6.0,
MAON-pcr1~2,F5,3_25&26_b,6.0,
MAON-pcr1~2,G1,2_14&19_b,2.0,
MAON-pcr1~2,G2,2_16&18_b,2.0,
MAON-pcr1~2,G3,2_19&20_b,2.0,
MAON-pcr1~2,G4,3_22&25_b,6.0,
MAON-pcr1~2,H1,2_14&20_b,2.0,
MAON-pcr1~2,H2,2_16&19_b,2.0,
MAON-pcr1~2,H3,3_21&22_b,6.0,
MAON-pcr1~2,H4,3_22&26_b,6.0,
,,,,MAON-mut-bk
